,ref,ref_num,img,img_num,dist,qual,mos,dist_name,ocr_algo,target,cer,cer_comp,mos_fitted_total,model_params_total,mos_comp_fitted_total,model_params_comp_total,mos_fitted_total_overall,model_params_total_overall,mos_comp_fitted_total_overall,model_params_comp_total_overall,pearson,pearson_fitted,pearson_overall,pearson_fitted_overall,spearmanr,spearmanr_fitted,spearmanr_overall,spearmanr_fitted_overall,rmse,rmse_fitted,rmse_overall,rmse_fitted_overall
1292,SCI03,3,SCI03_8_3,3,8,3,63.61890767,HEVC-SCC,ezocr,ref,0.024413145539906103,97.55868544600939,66.2144396046508,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],66.2157251012645,[963.81764719  28.2770591  203.63778471  33.52948316],58.883976219482975,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],58.88347292929005,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1293,SCI03,3,SCI03_8_4,3,8,4,50.08029678,HEVC-SCC,ezocr,ref,0.048826291079812206,95.11737089201878,63.65407262020972,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],63.65228114132286,[963.81764719  28.2770591  203.63778471  33.52948316],55.74767070336384,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],55.74749621735242,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1294,SCI03,3,SCI03_8_5,3,8,5,36.30124175,HEVC-SCC,ezocr,ref,0.13333333333333333,86.66666666666667,56.009125173409984,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],56.0047997087329,[963.81764719  28.2770591  203.63778471  33.52948316],47.36657428004128,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],47.36661756132669,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1295,SCI04,4,SCI04_8_1,4,8,1,75.01372374,HEVC-SCC,ezocr,ref,0.050682261208576995,94.9317738791423,63.466322413446164,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],63.464352838051354,[963.81764719  28.2770591  203.63778471  33.52948316],55.52410273925898,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],55.523946030118836,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1296,SCI04,4,SCI04_8_2,4,8,2,70.61843652,HEVC-SCC,ezocr,ref,0.18128654970760233,81.87134502923976,52.40772817389427,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],52.40505379865501,[963.81764719  28.2770591  203.63778471  33.52948316],43.943856072632116,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],43.9437804378994,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1297,SCI04,4,SCI04_8_3,4,8,3,61.44493834,HEVC-SCC,ezocr,ref,0.21442495126705652,78.55750487329435,50.18862470670558,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],50.1876287465213,[963.81764719  28.2770591  203.63778471  33.52948316],42.008177987559066,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],42.008007617711755,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1298,SCI04,4,SCI04_8_4,4,8,4,55.528628,HEVC-SCC,ezocr,ref,0.21637426900584794,78.36257309941521,50.06446401481219,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],50.06357373590301,[963.81764719  28.2770591  203.63778471  33.52948316],41.90384946463564,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],41.90367375179398,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1299,SCI04,4,SCI04_8_5,4,8,5,39.44648548,HEVC-SCC,ezocr,ref,0.24171539961013644,75.82846003898635,48.511449870690285,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],48.51196550433076,[963.81764719  28.2770591  203.63778471  33.52948316],40.63494513184378,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],40.63470462469401,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1300,SCI05,5,SCI05_8_1,5,8,1,75.49144655,HEVC-SCC,ezocr,ref,0.007874015748031496,99.21259842519686,68.04823411375821,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],68.05249460239365,[963.81764719  28.2770591  203.63778471  33.52948316],61.22971972951018,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],61.22886895698344,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
1301,SCI05,5,SCI05_8_2,5,8,2,69.77011503,HEVC-SCC,ezocr,ref,0.02204724409448819,97.79527559055119,66.47174228130916,[ 2.83072311e+01  8.40308445e+02 -9.81173893e-01 -3.33356438e-01],66.47340552411517,[963.81764719  28.2770591  203.63778471  33.52948316],59.2081274717284,[ 3.11438040e+01  2.17558902e+03 -8.46867234e-01  2.00999719e-01],59.20758147309195,[2119.69803704   31.14445482  184.12695863   20.09469357],0.6121686370851726,0.6189269372990921,0.5985269271889311,0.6579455835498284,0.5706900843372418,0.5706900843372418,0.6466856439811743,0.7299413379996937,31.88271518778569,9.42459500125297,38.04208258442026,9.44043726004365
