ref,ref_num,img,img_num,comp,qual,mos,ter,ter_comp
SCI04,4,SCI04_3_4,4,3,4,37.06411754,0.03349282296650718,96.65071770334929
SCI04,4,SCI04_3_5,4,3,5,35.07813896,0.03827751196172249,96.17224880382776
SCI04,4,SCI04_4_1,4,4,1,43.6729284,0.0215311004784689,97.84688995215312
SCI04,4,SCI04_4_2,4,4,2,49.53053983,0.014354066985645933,98.56459330143541
SCI04,4,SCI04_4_3,4,4,3,52.34145389,0.03588516746411483,96.41148325358851
SCI04,4,SCI04_4_4,4,4,4,53.07581983,0.03588516746411483,96.41148325358851
SCI04,4,SCI04_4_5,4,4,5,41.94703792,0.03588516746411483,96.41148325358851
SCI04,4,SCI04_5_1,4,5,1,70.57076945,0.0215311004784689,97.84688995215312
SCI04,4,SCI04_5_2,4,5,2,66.22431753,0.03588516746411483,96.41148325358851
SCI04,4,SCI04_5_3,4,5,3,53.69814414,0.1282051282051282,87.17948717948718
SCI04,4,SCI04_5_4,4,5,4,40.05655277,0.1686182669789227,83.13817330210773
SCI04,4,SCI04_5_5,4,5,5,32.50663247,0.0763888888888889,92.36111111111111
SCI04,4,SCI04_6_1,4,6,1,73.90662421,0.009523809523809525,99.04761904761905
SCI04,4,SCI04_6_2,4,6,2,72.84337767,0.030878859857482184,96.91211401425178
SCI04,4,SCI04_6_3,4,6,3,58.15596846,0.03827751196172249,96.17224880382776
SCI04,4,SCI04_6_4,4,6,4,49.50637287,0.023923444976076555,97.60765550239235
SCI04,4,SCI04_6_5,4,6,5,38.27244297,0.1013215859030837,89.86784140969164
SCI04,4,SCI04_7_1,4,7,1,71.48549686,0.028169014084507043,97.1830985915493
SCI04,4,SCI04_7_2,4,7,2,65.11553716,0.03588516746411483,96.41148325358851
SCI04,4,SCI04_7_3,4,7,3,62.19536098,0.028708133971291867,97.1291866028708
SCI04,4,SCI04_7_4,4,7,4,56.33879465,0.030878859857482184,96.91211401425178
SCI04,4,SCI04_7_5,4,7,5,49.97164656,0.028708133971291867,97.1291866028708
SCI04,4,SCI04_8_1,4,8,1,75.01372374,0.026004728132387706,97.39952718676122
SCI04,4,SCI04_8_2,4,8,2,70.61843652,0.028708133971291867,97.1291866028708
SCI04,4,SCI04_8_3,4,8,3,61.44493834,0.03349282296650718,96.65071770334929
SCI04,4,SCI04_8_4,4,8,4,55.528628,0.03588516746411483,96.41148325358851
SCI04,4,SCI04_8_5,4,8,5,39.44648548,0.050239234449760764,94.97607655502392
SCI04,4,SCI04_9_1,4,9,1,72.80513463,0.014354066985645933,98.56459330143541
SCI04,4,SCI04_9_2,4,9,2,71.99334775,0.014354066985645933,98.56459330143541
SCI04,4,SCI04_9_3,4,9,3,73.54142387,0.0215311004784689,97.84688995215312
SCI04,4,SCI04_9_4,4,9,4,68.45994937,0.03588516746411483,96.41148325358851
SCI04,4,SCI04_9_5,4,9,5,39.99805272,0.028708133971291867,97.1291866028708
SCI05,5,SCI05_1_1,5,1,1,61.39608939,0.003115264797507788,99.68847352024922
SCI05,5,SCI05_1_2,5,1,2,48.85258858,0.00778816199376947,99.22118380062305
SCI05,5,SCI05_1_3,5,1,3,46.31596433,0.003115264797507788,99.68847352024922
SCI05,5,SCI05_1_4,5,1,4,36.79643053,0.9953271028037384,0.4672897196261627
SCI05,5,SCI05_1_5,5,1,5,29.10093918,0.9953271028037384,0.4672897196261627
SCI05,5,SCI05_2_1,5,2,1,63.35563584,0.003115264797507788,99.68847352024922
